Subj	Age	Gender	SES	SISI_SCORE	Fusion_SCORE	MassAttendance	RelIDBASIC	Believe_God	God_Always_Never	GodCertainty_1	CatholicBelief_SCORE	CathMoral_SCORE	Rej_Church	Rej_The_Ath	CN_CR_TR_AR	CN_CR_NC	IntMorRej	RejFact_1_Catholicreligiousbeliefsdidntmakesenseorwereu	RejFact_2_TheCatholicChurchsmoralvaluesareoutofdateor	RejFact_3_Thebehaviourofpeoplearoundmewhocalledthemselve	RejFact_4_ThesexualabusescandalsintheCatholicChurch	RejFact_5_ThefeelingthattheCatholicChurchwantstocontrol	RejFact_6_Catholicismwasirrelevanttomylife	RejFact_7_Ilearnedmoreaboutatheisthumanistsecularideas	RejFact_8_BoredomwithCatholicreligiousservices	RejFact_9_Ilearnedmoreaboutotherreligiousorspiritualbeli	RejFact_10_PeoplearoundmemostlypractisedCatholicismoutof	RejFact_12_Ilearnedmoreaboutscience	ParentsCatholic	CRED_SCORE	CathInfGood_Bad	ChurchInfToday	Trust_1_Atheists	Trust_2_Priests	Trust_5_Bishops	ScEmo_1_Anger	ScEmo_2_Disgust	ScEmo_3_Contempt	ScEmo_4_Shame	ScEmo_Amusement	ScEmo_Sadness	ScEmo_Disbelief	ScEmo_Shock	ScEmo_Norealfeelingsaboutit	ScEmo_Vindication_Ialreadyknewthechurchwasbad	Paedo_%	CredDepl_1_GotoMass	CredDepl_2_GotoConfession	CredDepl_3_DonatemoneytotheChurchortoCatholiccharities	CredDepl_4_Gotothechurchtolightcandles	CredDepl_5_ReceiveashesonAshWednesday	CredDepl_6_Prayinfrontofotherpeople	CredDepl_7_Celebrateimportanteventsinmylifeormychildren	CredDepl_8_Blessmyselfwhilepassingachurch	CredDepl_9_GivesomethingupforLent	CredDepl_10_Confrontfamilymembersorpeopleinmycommunitywh	CredDepl_11_HidethefactthatIdidntreallybelieveinCathol	CredDepl_12_Noneoftheabove	Causes_1_Homosexualsjoiningthepriesthood	Causes_2_Paedophilesjoiningthepriesthood	Causes_3_Priestswerenottrainedaswellastheyusedtobe	Causes_4_IrishpeopleweretooobedienttoquestiontheChurchc	Causes_5_TheChurchcaredmoreaboutitsreputationthanaboutp	Causes_6_Priestlycelibacypriestsarenotallowedtomarry	Causes_7_Peoplewerelessawareofchildabuseinthepast	Causes_8_Peopleknewbutturnedablindeyetowhatwashappenin	Causes_9_TheChurchhadtoomuchpowerovertheState	Causes_10_Aresultofdecliningmoralsinsocietyingeneral	Causes_11_Theexploitationoftheissuebypeoplewhoareagains	Causes_12_OtherPleasesaywhatthisisintheboxbelow	Progressivism	MF_CUT	UrbRural	UrbRural_D	CSchool	SES2
275	4	2	4	24	29	5	1	1	1	6	34	33	0	1	1	1													1	52	1	3	5	1	4	5	1	7	4	9	3	6	2	8	10	4												1	5	5	5	5	4	2	5	5	5	2	2	4						
276	5	1	5	21	17	2	1	1	1	3	14	42	0	1	1	1													1	48	3	5	2	6	1	7	1	2	4	8	6	5	3	10	9	6												1	4	7	7	7	7	6	7	7	7	4	4	4						
281	3	2	4	20	25	4	1	1	1	6	21	28	1	2	2	2	2	3	3	6	7	7	3	1	5	4	4	1	1	45	3	3	9	3	5	1	5	7	3	10	2	6	4	8	9	17	1	1	1					1					6	6	6	6	6	6	6	6	6	6	5	6						
283	6	1	11	28	34	5	3	1	1	7	40	33	0	1	1	1													1	47	1	4	2	1	5	5	2	7	1	10	3	6	4	8	9	11			1							1			4	5	6	6	6	1	7	6	6	6	5	4						
285	6	2	11	28	47	5	1	1	1	7	41	41	0	1	1	1													1	50	1	4	6	2	1	6	3	7	5	9	1	4	2	8	10	13												1	6	6	4	5	5	7	5	4	5	7	6	6						
286	6	2	11	28	24	4	3	1	1	7	36	21	0	1	1	1													1	52	2	3	5	2	7	6	1	4	2	9	3	7	5	10	8	20			1										5	6	4	7	7	7	5	6	7	1	2	4						
287	6	1	11	4	7	2	2	0	3	1	6	12	1	3	4	3	3	7	7	7	7	7	7	1	7	1	1	7	1	25	3	5	5	8	9	2	1	6	3	9	7	5	4	10	8	18												1	1	7	3	7	7	7	7	7	7	3	7	7						
292	5	1	1	16	22	2	1	1	1	7	36	17	0	1	1	1													1	47	2	2	4	6	7	5	2	7	4	9	6	1	3	10	8	15												1	1	7	7	7	7	7	7	7	7	4	3	4						
304	6	1	11	8	9	2	2	1	1	5	8	14	1	2	3	3	3	7	7	7	4	7	7	4	7	3	7	4	1	47	1	3	5	8	7	5	4	6	1	10	7	2	3	9	8	5												1	4	7	4	7	7	7	7	7	7	4	5	4						
305	4	2	4	4	7	3	2	1	1	7	25	27	1	2	3	3	2	3	6	7	6	6	3	2	7	4	6	2	1	41	3	5	8	5	7	2	4	8	6	9	3	7	5	10	1	50												1	2	6	4	6	6	6	4	6	5	3	4	4						
306	4	1	5	28	49	5	1	1	1	7	42	54	0	1	1	1													1	50	1	6	8	2	1	6	3	7	1	8	2	5	4	10	9	3												1	7	7	2	5	4	1	5	5	4	7	7	4						
308	4	1	4	8	7	2	2	1	1	5	13	37	1	2	3	3	3	5	6	5	6	6	6	3	4	4	4	4	1	28	3	3	2	7	8	4	2	8	6	10	1	7	3	9	5	40												1	2	3	7	7	7	5	4	6	6	3	3	4						
311	5	1	4	15	24	3	3	1	2	4	12	42	0	1	1	1													1	49	2	2	3	8	7	4	1	7	2	8	5	6	3	9	10	72	1	1			1	1					1		2	2	4	6	4	6	6	5	6	4	4	4						
317	6	2	11	28	46	5	1	1	1	7	42	45	0	1	1	1													1	44	1	4	7	2	1	2	6	7	3	8	5	1	4	9	10	20												1	7	7	7	3	7	1	7	7	7	7	6	4						
321	6	1	1	28	38	6	1	1	1	5	40	49	0	1	1	1													1	54	1	4	9	2	4	7	4	10	8	9	1	3	5	2	6	8												1	3	1	4	5	4	1	5	5	5	5	4	4						
325	5	1	3	20	30	2	3	1	1	7	23	21	1	2	2	2	4	6	3	7	7	6	1	5	6	1	6	3	1	49	2	4	3	1	6	4	3	1	5	6	7	8	2	10	9	29												1	3	5	1	7	7	3	5	6	7	2	3	4						
327	5	2	3	28	40	6	1	1	1	7	42	38	0	1	1	1													1	49	1	5	6	2	1	6	1	7	3	10	4	5	2	9	8	22	1	1	1	1	1	1	1	1	1				6	7	5	4	6	5	7	7	4	4	7	7						
333	2	1	5	11	12	2	2	1	1	6	8	47	1	2	3	3	1	1	1	1	7	5	1	1	1	1	7	4	1	25	3	3	10	9	8	1	2	3	5	10	6	4	7	9	8	33	1												1	7	4	7	7	1	7	7	7	1	7	1						
